name,chrom,strand,txStart,txEnd,cdsStart,cdsEnd,exonCount,LastExonStart,LastExonEnd,Group
CALML6,chr1,+,1846265,1848733,1846719,1848632,6,1848585,1848733,2
TMEM52,chr1,-,1849029,1850712,1849320,1850704,5,1849029,1849601,2
C1orf222,chr1,-,1891402,1897965,1891402,1897965,4,1891402,1891469,2
GABRD,chr1,+,1950779,1962192,1950862,1961721,9,1961421,1962192,2
PRKCZ,chr1,+,1981908,2116834,1982069,2116448,18,2116360,2116834,2
C1orf86,chr1,-,2115916,2126214,2118596,2126188,7,2115916,2116952,3
AL590822.2,chr1,+,2121236,2123179,2121489,2122032,1,2121236,2123179,1
AL590822.1,chr1,-,2143359,2145620,2144365,2145019,1,2143359,2145620,1
SKI,chr1,+,2160133,2241558,2160205,2238204,7,2238015,2241558,2
MORN1,chr1,-,2252691,2323146,2252821,2322972,14,2252691,2253018,2
AL589739.1,chr1,+,2258580,2259042,2258580,2259042,1,2258580,2259042,1
RER1,chr1,+,2323271,2336883,2327229,2334563,7,2334473,2336883,2
PEX10,chr1,-,2336257,2344010,2337204,2343941,6,2336257,2337273,2
PLCH2,chr1,+,2407753,2436964,2408027,2436652,22,2435360,2436964,2
PANK4,chr1,-,2439971,2458039,2440285,2458026,19,2439971,2440499,2
HES5,chr1,-,2460183,2461684,2460907,2461603,3,2460183,2461188,2
TNFRSF14,chr1,+,2487804,2495268,2488103,2494712,8,2494586,2495268,2
FAM213B,chr1,+,2518213,2522907,2518234,2520866,7,2520848,2522907,2
MMEL1,chr1,-,2522080,2564481,2522428,2560896,24,2522080,2522528,2
TTC34,chr1,-,2572806,2706236,2572806,2706156,7,2572806,2573334,2
ACTRT2,chr1,+,2938045,2939465,2938250,2939384,1,2938045,2939465,1
PRDM16,chr1,+,2985741,3355183,2985823,3350375,17,3350297,3355183,2
ARHGEF16,chr1,+,3370989,3397677,3379648,3397151,15,3397011,3397677,2
MEGF6,chr1,-,3406489,3528059,3407091,3527832,37,3406489,3407153,2
TPRG1L,chr1,+,3541565,3546691,3541636,3545167,5,3544972,3546691,2
WRAP73,chr1,-,3547330,3566637,3547538,3566563,12,3547330,3547681,2
TP73,chr1,+,3569083,3652765,3598929,3649643,14,3649310,3652765,2
CCDC27,chr1,+,3668961,3688208,3669045,3688087,12,3687964,3688208,2
SMIM1,chr1,+,3689351,3692546,3691937,3692485,4,3692358,3692546,2
LRRC47,chr1,-,3696783,3713068,3697651,3713040,7,3696783,3697900,2
CEP104,chr1,-,3728644,3773763,3731965,3768971,22,3728644,3732081,2
DFFB,chr1,+,3773844,3801993,3774167,3800305,7,3800070,3801993,2
C1orf174,chr1,-,3805688,3816849,3806523,3816750,4,3805688,3806637,2
AJAP1,chr1,+,4715104,4852594,4715485,4834559,6,4842604,4852594,3
NPHP4,chr1,-,5922877,6052531,5923324,6046349,30,5922877,5923465,2
KCNAB2,chr1,+,6052422,6161253,6100628,6158634,16,6158544,6161253,2
AL035406.1,chr1,-,6100629,6101399,6100629,6101399,2,6100629,6100699,2
CHD5,chr1,-,6161852,6240183,6166339,6240083,42,6161852,6165487,3
RPL22,chr1,-,6245079,6259672,6246731,6259633,4,6245079,6246876,2
RNF207,chr1,+,6266235,6281359,6266595,6279467,18,6279295,6281359,2
ICMT,chr1,-,6281252,6296000,6285139,6295971,5,6281252,6285322,2
HES3,chr1,+,6304251,6305638,6304425,6305567,4,6305169,6305638,2
GPR153,chr1,-,6307405,6321035,6309397,6314965,6,6307405,6310063,2
ACOT7,chr1,-,6324332,6454451,6324656,6453459,9,6324332,6324755,2
HES2,chr1,-,6475291,6479979,6478932,6479880,4,6475291,6479213,2
ESPN,chr1,+,6484847,6521004,6485015,6520206,13,6520058,6521004,2
TNFRSF25,chr1,-,6521210,6526255,6521493,6526167,10,6521210,6521822,2
PLEKHG5,chr1,-,6526151,6580069,6527622,6579571,22,6526151,6527632,2
NOL9,chr1,-,6581406,6614595,6585913,6614562,12,6581406,6586063,2
TAS1R1,chr1,+,6615240,6639817,6615433,6639644,6,6638712,6639817,2
ZBTB48,chr1,+,6640107,6649340,6640669,6649272,11,6648975,6649340,2
KLHL21,chr1,-,6650783,6662929,6653424,6662877,4,6650783,6653718,2
PHF13,chr1,+,6673744,6684093,6674126,6681697,4,6681470,6684093,2
THAP3,chr1,+,6685251,6695646,6685278,6694148,5,6694079,6695646,2
DNAJC11,chr1,-,6694227,6761984,6695734,6761860,16,6694227,6695760,2
CAMTA1,chr1,+,6845383,7829766,6845590,7826551,23,7826518,7829766,2
VAMP3,chr1,+,7831328,7841492,7831443,7839705,5,7839685,7841492,2
PER3,chr1,+,7844762,7905237,7844937,7902815,21,7902731,7905237,2
UTS2,chr1,-,7907825,7913491,7907825,7913491,5,7907825,7907942,2
TNFRSF9,chr1,-,7979906,8000926,7980894,8000054,8,7979906,7980983,2
PARK7,chr1,+,8021722,8045339,8022845,8045114,7,8044953,8045339,2
ERRFI1,chr1,-,8071778,8086368,8073269,8075679,4,8071778,8074456,2
SLC45A1,chr1,+,8384389,8404227,8384389,8404073,8,8403806,8404227,2
RERE,chr1,-,8412456,8877524,8415146,8716356,24,8412456,8415180,2
ENO1,chr1,-,8921060,8938749,8921418,8934967,12,8921060,8921488,2
CA6,chr1,+,9005941,9035151,9005945,9034763,8,9034680,9035151,2
SLC2A7,chr1,-,9063358,9086404,9063358,9086404,12,9063358,9063577,2
SLC2A5,chr1,-,9095165,9129775,9097644,9129595,12,9095165,9097848,2
GPR157,chr1,-,9160363,9189229,9164477,9189086,4,9160363,9164693,2
H6PD,chr1,+,9294833,9331396,9304993,9324928,5,9323567,9331396,2
SPSB1,chr1,+,9352938,9429591,9415950,9427634,3,9427506,9429591,2
SLC25A33,chr1,+,9599540,9645237,9599750,9642559,7,9642356,9645237,2
TMEM201,chr1,+,9648979,9674907,9648988,9673141,11,9673043,9674907,2
PIK3CD,chr1,+,9711802,9788977,9770513,9787104,24,9786966,9788977,2
C1orf200,chr1,-,9712667,9714644,9713836,9714494,2,9712667,9714101,2
CLSTN1,chr1,-,9789083,9884584,9790565,9883791,19,9789083,9790763,2
CTNNBIP1,chr1,-,9908333,9970321,9910775,9932122,6,9908333,9910834,2
LZIC,chr1,-,9988996,10003387,9990456,9996677,8,9988996,9990515,2
NMNAT1,chr1,+,10003485,10045556,10032131,10042759,5,10042358,10045556,2
RBP7,chr1,+,10057273,10076078,10057316,10075890,4,10075839,10076078,2
UBE4B,chr1,+,10093015,10241289,10161166,10240014,27,10239952,10241289,2
KIF1B,chr1,+,10270862,10437995,10292386,10436645,47,10436602,10437995,2
PGD,chr1,+,10459136,10480201,10459174,10479806,13,10479686,10480201,2
APITD1-CORT,chr1,+,10490158,10512210,10490574,10511652,5,10511433,10512210,2
APITD1,chr1,+,10490158,10512210,10490574,10511652,5,10511433,10512210,2
CORT,chr1,+,10509775,10511959,10510280,10511652,2,10511433,10511959,2
DFFA,chr1,-,10516578,10532583,10521546,10532515,6,10516578,10521759,2
PEX14,chr1,+,10534943,10690815,10535023,10690044,9,10689587,10690815,2
CASZ1,chr1,-,10696660,10856705,10698998,10753946,21,10696660,10700116,2
C1orf127,chr1,-,11006529,11042094,11007719,11042094,13,11006529,11006798,3
TARDBP,chr1,+,11072698,11084100,11073784,11082711,6,11082180,11084100,2
MASP2,chr1,-,11086579,11107280,11086941,11107264,11,11086579,11087705,2
SRM,chr1,-,11114645,11120081,11114921,11120000,8,11114645,11114942,2
EXOSC10,chr1,-,11126674,11159938,11126774,11159888,25,11126674,11126805,2
MTOR,chr1,-,11166591,11322564,11167541,11319466,58,11166591,11167557,2
ANGPTL7,chr1,+,11249397,11256038,11249636,11255080,5,11254910,11256038,2
UBIAD1,chr1,+,11333262,11348491,11333588,11346188,2,11345700,11348491,2
PTCHD2,chr1,+,11539294,11597641,11561049,11596743,21,11596380,11597641,2
FBXO2,chr1,-,11708423,11714739,11708750,11714397,6,11708423,11708885,2
FBXO44,chr1,+,11714913,11723384,11715892,11721330,7,11721186,11723384,2
FBXO6,chr1,+,11724180,11734411,11728715,11733908,6,11733671,11734411,2
MAD2L2,chr1,-,11734804,11751666,11734831,11740658,9,11734804,11734873,2
DRAXIN,chr1,+,11751785,11785914,11766315,11779753,7,11779640,11785914,2
AGTRAP,chr1,+,11796140,11810767,11796265,11810161,4,11810133,11810767,2
C1orf167,chr1,+,11821843,11849641,11821843,11849503,21,11849326,11849641,2
MTHFR,chr1,-,11846659,11866115,11850736,11863173,12,11846659,11850955,2
CLCN6,chr1,+,11866267,11903201,11866319,11900280,23,11900199,11903201,2
NPPA,chr1,-,11905765,11907840,11906065,11907741,3,11905765,11906071,2
NPPB,chr1,-,11917520,11918988,11917711,11918890,3,11917520,11917728,2
KIAA2013,chr1,-,11979647,11986480,11980371,11986294,3,11979647,11980389,2
PLOD1,chr1,+,11994809,12035594,11994836,12034865,19,12034709,12035594,2
MFN2,chr1,+,12040237,12073571,12049225,12071622,18,12071552,12073571,2
MIIP,chr1,+,12079522,12092102,12081783,12091865,10,12091778,12092102,2
TNFRSF8,chr1,+,12123433,12204264,12123655,12202588,15,12202343,12204264,2
TNFRSF1B,chr1,+,12227059,12269285,12227148,12267077,10,12266796,12269285,2
VPS13D,chr1,+,12290123,12572099,12294323,12569078,70,12568946,12572099,2
DHRS3,chr1,-,12627938,12677737,12628368,12677353,6,12627938,12628453,2
AADACL4,chr1,+,12704565,12727097,12704565,12726746,4,12725971,12727097,2
AADACL3,chr1,+,12776117,12788726,12776343,12785963,3,12785188,12788726,2
C1orf158,chr1,+,12806162,12823847,12806378,12820884,4,12820702,12823847,2
PRAMEF12,chr1,+,12834983,12838049,12835010,12837742,3,12837153,12838049,2
PRAMEF1,chr1,+,12851545,12856777,12853376,12856145,4,12855586,12856777,2
PRAMEF11,chr1,-,12884467,12891264,12884799,12888523,4,12884467,12885361,2
HNRNPCL1,chr1,-,12907260,12908578,12907260,12908142,2,12907260,12908323,2
PRAMEF2,chr1,+,12916940,12921764,12918864,12921634,4,12921075,12921764,2
PRAMEF4,chr1,-,12939044,12946025,12939364,12943215,4,12939044,12939926,2
PRAMEF10,chr1,-,12952726,12958101,12952746,12955678,4,12952726,12953305,2
PRAMEF7,chr1,+,12977512,12980233,12977512,12980233,3,12979671,12980233,2
PRAMEF6,chr1,-,12998180,13007420,12998504,13002348,4,12998180,12999066,2
PRAMEF22,chr1,+,13035542,13038381,13035542,13038381,3,13037807,13038381,2
WI2-3308P17.2,chr1,-,13052393,13052998,13052725,13052998,1,13052393,13052998,1
PRAMEF26,chr1,-,13216355,13219581,13216687,13219581,2,13216355,13217249,2
PRAMEF3,chr1,-,13328195,13331692,13328832,13331671,3,13328195,13329406,2
PRAMEF5,chr1,+,13359818,13369057,13364890,13368733,4,13368171,13369057,2
PRAMEF8,chr1,-,13386645,13390765,13386981,13389702,4,13386645,13387543,2
PRAMEF9,chr1,+,13421175,13428191,13424002,13427859,4,13427297,13428191,2
PRAMEF13,chr1,-,13447413,13452656,13448049,13450836,4,13447413,13448608,2
PRAMEF18,chr1,-,13474688,13477522,13474688,13477522,3,13474688,13475262,2
PRAMEF16,chr1,+,13495253,13498260,13495283,13498128,3,13497569,13498260,2
PRAMEF21,chr1,+,13521972,13526873,13521972,13526873,3,13526311,13526873,2
PRAMEF15,chr1,+,13641972,13648988,13644799,13648656,4,13648094,13648988,2
PRAMEF14,chr1,-,13668268,13673511,13668904,13671691,4,13668268,13669463,2
PRAMEF19,chr1,-,13694888,13698405,13695524,13698358,3,13694888,13696098,2
PRAMEF17,chr1,+,13716091,13719089,13716117,13718962,3,13718403,13719089,2
PRAMEF20,chr1,+,13736906,13747803,13742811,13747733,4,13747171,13747803,2
LRRC38,chr1,-,13801444,13840543,13802313,13840088,2,13801444,13802567,2
PDPN,chr1,+,13910256,13944452,13910300,13942406,6,13942399,13944452,2
PRDM2,chr1,+,14026734,14151560,14042100,14149679,8,14149653,14151560,2
KAZN,chr1,+,14925199,15444539,14925493,15441131,15,15440966,15444539,2
TMEM51,chr1,+,15479027,15546973,15541583,15546239,3,15545821,15546973,2
C1orf195,chr1,-,15490839,15497774,15490839,15497774,2,15490839,15490957,2
FHAD1,chr1,+,15573767,15724622,15578280,15723909,31,15723792,15724622,2
EFHD2,chr1,+,15736390,15756839,15736467,15755220,4,15755088,15756839,2
CTRC,chr1,+,15764934,15773149,15764960,15773084,8,15773069,15773149,2
CELA2A,chr1,+,15783223,15798586,15783248,15798502,8,15798484,15798586,2
CELA2B,chr1,+,15802595,15817895,15802620,15817807,8,15817789,15817895,2
CASP9,chr1,-,15818764,15850790,15819437,15850695,9,15818764,15819530,2
DNAJC16,chr1,+,15853307,15898228,15855600,15894672,15,15894272,15898228,2
AGMAT,chr1,-,15898847,15911605,15900145,15911462,7,15898847,15900219,2
DDI2,chr1,+,15943994,15995539,15944165,15983128,10,15986331,15995539,3
RSC1A1,chr1,+,15986363,15988217,15986363,15988217,1,15986363,15988217,1
PLEKHM2,chr1,+,16010826,16061264,16011053,16060429,20,16060291,16061264,2
SLC25A34,chr1,+,16062899,16067891,16062980,16065901,5,16065718,16067891,2
TMEM82,chr1,+,16068916,16074477,16069054,16074127,6,16074040,16074477,2
FBLIM1,chr1,+,16084913,16113089,16091478,16111156,9,16111042,16113089,2
SPEN,chr1,+,16174358,16266955,16174562,16265922,15,16265790,16266955,2
ZBTB17,chr1,-,16268363,16302621,16268463,16274990,16,16268363,16268747,2
C1orf64,chr1,+,16330730,16335302,16330798,16332841,2,16332413,16335302,2
HSPB7,chr1,-,16340522,16345285,16342074,16344458,3,16340522,16342254,2
CLCNKA,chr1,+,16348485,16360542,16349114,16360153,20,16360105,16360542,2
CLCNKB,chr1,+,16370271,16383803,16370987,16383411,20,16383363,16383803,2
FAM131C,chr1,-,16384263,16400121,16384931,16399937,7,16384263,16385212,2
EPHA2,chr1,-,16450831,16482582,16451709,16482427,17,16450831,16451815,2
ARHGEF19,chr1,-,16524598,16539104,16525081,16535549,16,16524598,16525239,2
C1orf134,chr1,-,16555367,16556038,16555367,16556038,2,16555367,16555558,2
RSG1,chr1,-,16558194,16563657,16558542,16563237,5,16558194,16558792,2
FBXO42,chr1,-,16573333,16678949,16577164,16641913,10,16573333,16578280,2
SZRD1,chr1,+,16693577,16724637,16693752,16721635,4,16721532,16724637,2
SPATA21,chr1,-,16725137,16763919,16725259,16757866,13,16725137,16725317,2
NECAP2,chr1,+,16767166,16786573,16767256,16785385,8,16785336,16786573,2
AL355149.2,chr1,+,16865560,16866070,16865560,16866070,1,16865560,16866070,1
NBPF1,chr1,-,16888813,16939982,16890437,16918516,29,16888813,16890681,2
AL137798.1,chr1,+,16999497,17000007,16999497,17000007,1,16999497,17000007,1
AL021920.2,chr1,-,17060446,17060956,17060446,17060956,1,17060446,17060956,1
CROCC,chr1,+,17248444,17299474,17248513,17298941,37,17298854,17299474,2
MFAP2,chr1,-,17301002,17307173,17301414,17304768,9,17301002,17301518,2
ATP13A2,chr1,-,17312452,17338423,17312715,17338233,29,17312452,17312853,2
SDHB,chr1,-,17345216,17380665,17345375,17380514,8,17345216,17345453,2
PADI2,chr1,-,17393255,17445930,17395538,17445866,16,17393255,17395772,2
PADI1,chr1,+,17531620,17572500,17531712,17570738,16,17570504,17572500,2
PADI3,chr1,+,17575592,17610728,17575632,17609574,16,17609340,17610728,2
PADI4,chr1,+,17634691,17690499,17634717,17690250,16,17690016,17690499,2
AC004824.2,chr1,-,17655506,17676070,17655506,17676070,6,17655506,17655529,2
RCC2,chr1,-,17733255,17766220,17735585,17765010,13,17733255,17735690,2
ARHGEF10L,chr1,+,17866329,18024364,17907090,18023875,29,18023342,18024364,2
ACTL8,chr1,+,18081807,18153558,18149503,18153014,3,18152261,18153558,2
IGSF21,chr1,+,18434239,18704976,18434622,18704820,10,18704749,18704976,2
KLHDC7A,chr1,+,18807423,18812478,18807475,18809809,1,18807423,18812478,1
PAX7,chr1,+,18958014,19075360,18958097,19071423,9,19071307,19075360,2
TAS1R2,chr1,-,19166092,19186176,19166092,19186154,6,19166092,19167021,2
RP13-279N23.2,chr1,-,19175766,19247615,19235054,19247615,27,19175766,19176044,3
ALDH4A1,chr1,-,19197925,19229275,19199338,19229017,15,19197925,19199451,2
IFFO2,chr1,-,19230774,19283180,19235054,19282826,9,19230774,19235160,2
UBR4,chr1,-,19400999,19536770,19401325,19536742,106,19400999,19401390,2
EMC1,chr1,-,19542157,19578046,19545796,19578003,23,19542157,19545976,2
MRTO4,chr1,+,19578032,19586622,19578329,19585324,8,19585174,19586622,2
AKR7L,chr1,-,19592477,19600568,19593793,19597306,5,19592477,19593955,2
AKR7A3,chr1,-,19609051,19615744,19609224,19615203,7,19609051,19609386,2
AKR7A2,chr1,-,19630458,19638640,19630718,19638618,7,19630458,19630880,2
PQLC2,chr1,+,19638819,19655794,19644171,19655137,9,19655065,19655794,2
CAPZB,chr1,-,19665266,19812066,19666023,19811932,9,19665266,19666111,2
MINOS1-NBL1,chr1,+,19923472,19984549,19981523,19983622,4,19983358,19984549,2
MINOS1,chr1,+,19923483,19956314,19923539,19952895,4,19952880,19956314,2
NBL1,chr1,+,19970656,19984945,19981523,19983622,4,19983358,19984945,2
HTR6,chr1,+,19991779,20006055,19992246,20005861,3,20005411,20006055,2
TMCO4,chr1,-,20008705,20126410,20009532,20107251,16,20008705,20009937,2
RNF186,chr1,-,20140522,20141771,20140910,20141594,1,20140522,20141771,1
OTUD3,chr1,+,20209005,20239438,20209006,20234239,8,20234062,20239438,2
PLA2G2E,chr1,-,20246501,20250110,20246799,20250052,4,20246501,20246942,2
PLA2G2A,chr1,-,20301924,20306932,20302193,20305266,5,20301924,20302336,2
PLA2G5,chr1,+,20396700,20417661,20411323,20417185,5,20417060,20417661,2
PLA2G2D,chr1,-,20438431,20446050,20440606,20445991,4,20438431,20440752,2
PLA2G2F,chr1,+,20465818,20476879,20465920,20474894,5,20474682,20476879,2
PLA2G2C,chr1,-,20490483,20501687,20490483,20501687,3,20490483,20490650,2
UBXN10,chr1,+,20512577,20522541,20517054,20517897,2,20517039,20522541,2
VWA5B1,chr1,+,20617411,20680756,20637094,20680756,22,20680249,20680756,2
CAMK2N1,chr1,-,20808883,20812713,20810141,20811872,2,20808883,20810212,2
MUL1,chr1,-,20825942,20834654,20827182,20834517,4,20825942,20827912,2
FAM43B,chr1,+,20878931,20881512,20879466,20880456,1,20878931,20881512,1
CDA,chr1,+,20915440,20945401,20915622,20945061,4,20944944,20945401,2
PINK1,chr1,+,20959947,20978004,20960041,20977184,8,20976926,20978004,2
DDOST,chr1,-,20978269,20988000,20978871,20987894,11,20978269,20979021,2
KIF17,chr1,-,20990506,21044273,20991076,21044199,15,20990506,20991255,2
SH2D5,chr1,-,21046224,21059133,21048284,21052550,9,21046224,21048488,2
HP1BP3,chr1,-,21069153,21113181,21071289,21106933,13,21069153,21071584,2
EIF4G3,chr1,-,21132975,21503343,21133811,21329235,35,21132975,21133993,2
ECE1,chr1,-,21543739,21671997,21546447,21671871,19,21543739,21546624,2
NBPF3,chr1,+,21766630,21811392,21771579,21809879,15,21809635,21811392,2
ALPL,chr1,+,21835857,21904902,21887172,21904141,10,21903875,21904902,2
RAP1GAP,chr1,-,21922713,21995799,21924212,21946525,25,21922713,21923757,3
USP48,chr1,-,22005071,22110099,22005909,22109450,27,22005071,22005932,2
LDLRAD2,chr1,+,22138757,22151714,22138944,22148708,5,22148694,22151714,2
HSPG2,chr1,-,22148737,22263790,22149808,22263710,97,22148737,22149981,2
CELA3B,chr1,+,22303513,22315837,22303532,22315772,8,22315754,22315837,2
CELA3A,chr1,+,22328148,22339015,22328167,22338960,8,22338942,22339015,2
CDC42,chr1,+,22379119,22419416,22404971,22418010,6,22417920,22419416,2
WNT4,chr1,-,22443797,22469459,22446542,22469415,5,22443797,22447010,2
ZBTB40,chr1,+,22778343,22857650,22816441,22852889,19,22852694,22857650,2
EPHA8,chr1,+,22890056,22930087,22890128,22928234,17,22928119,22930087,2
C1QA,chr1,+,22962998,22966101,22964109,22965900,3,22965325,22966101,2
C1QC,chr1,+,22970122,22974603,22970516,22974276,3,22973719,22974603,2
C1QB,chr1,+,22979681,22988029,22985949,22987879,3,22987304,22988029,2
EPHB2,chr1,+,23037457,23241818,23037475,23240363,17,23240150,23241818,2
LACTBL1,chr1,-,23279535,23291831,23279535,23291831,6,23279535,23280517,2
C1orf234,chr1,-,23337326,23342343,23337393,23342266,3,23337326,23337594,2
KDM1A,chr1,+,23345940,23410182,23346089,23409857,19,23409671,23410182,2
LUZP1,chr1,-,23410515,23495351,23415387,23420754,4,23410515,23415546,2
HTR1D,chr1,-,23518387,23521222,23519578,23520712,1,23518387,23521222,1
HNRNPR,chr1,-,23631180,23670829,23636946,23664327,10,23631180,23637559,2
ZNF436,chr1,-,23685940,23695935,23688461,23694498,4,23685940,23689714,2
TCEA3,chr1,-,23707553,23751233,23707958,23751126,11,23707553,23707967,2
ASAP3,chr1,-,23755055,23810671,23756348,23810626,25,23755055,23756423,2
E2F2,chr1,-,23832921,23857712,23836371,23857285,7,23832921,23836640,2
ID3,chr1,-,23884408,23886285,23885450,23885917,3,23884408,23884906,3
RPL11,chr1,+,24018268,24022915,24018313,24022863,6,24022833,24022915,2
TCEB3,chr1,+,24069644,24088549,24069915,24086063,11,24086001,24088549,2
PITHD1,chr1,+,24104894,24114722,24105005,24113866,6,24113764,24114722,2
LYPLA2,chr1,+,24117459,24122029,24119172,24121222,10,24121171,24122029,2
GALE,chr1,-,24122089,24126892,24122438,24125497,12,24122089,24122497,2
HMGCL,chr1,-,24128374,24151949,24128952,24151905,9,24128374,24129054,2
FUCA1,chr1,-,24171566,24194784,24172204,24194776,8,24171566,24172345,2
CNR2,chr1,-,24197015,24239852,24201024,24202107,2,24197015,24202152,2
PNRC2,chr1,+,24286301,24289952,24287947,24288367,3,24287929,24289952,2
MYOM3,chr1,-,24382526,24438665,24383853,24435126,37,24382526,24384117,2
IL22RA1,chr1,-,24446260,24469611,24447294,24469572,7,24446260,24448227,2
IFNLR1,chr1,-,24480646,24513751,24483619,24513738,7,24480646,24484381,2
GRHL3,chr1,+,24645914,24690972,24646041,24690861,16,24690674,24690972,2
STPG1,chr1,-,24683488,24741587,24685032,24727878,9,24683488,24685109,2
NIPAL3,chr1,+,24742283,24795797,24746037,24795675,12,24795475,24795797,2
RCAN3,chr1,+,24829386,24867530,24840862,24861767,5,24861582,24867530,2
NCMAP,chr1,+,24882601,24935816,24921921,24932238,4,24932096,24935816,2
SRRM1,chr1,+,24969502,24999758,24969817,24998777,17,24998672,24999758,2
CLIC4,chr1,+,25071847,25170815,25072044,25167428,6,25167263,25170815,2
RUNX3,chr1,-,25226001,25291501,25228612,25291062,6,25226001,25229157,2
SYF2,chr1,-,25549169,25558984,25549756,25558958,7,25549169,25549922,2
C1orf63,chr1,-,25568727,25574010,25569079,25573454,5,25568727,25569196,2
RHD,chr1,+,25598883,25656936,25599038,25655415,10,25655388,25656936,2
TMEM50A,chr1,+,25664407,25688852,25666977,25687196,7,25687150,25688852,2
RHCE,chr1,-,25688739,25747336,25689017,25747277,10,25688739,25689044,2
TMEM57,chr1,+,25757387,25826700,25757589,25824957,9,25824754,25826700,2
LDLRAP1,chr1,+,25870070,25895377,25870189,25893483,9,25893338,25895377,2
MAN1C1,chr1,+,25943958,26112698,25944288,26110280,12,26110153,26112698,2
SEPN1,chr1,+,26126666,26144713,26126721,26142209,13,26142038,26144713,2
AL020996.1,chr1,-,26145211,26147288,26146743,26147250,1,26145211,26147288,1
