name,chrom,strand,txStart,txEnd,cdsStart,cdsEnd,LastExonStart,LastExonEnd,StopCodon
PRAMEF9,chr1,+,13421175,13428191,13424002,13427859,13427297,13428191,TGA
PRAMEF21,chr1,+,13521972,13526873,13521972,13526873,13526311,13526873,TGA
PRAMEF15,chr1,+,13641972,13648988,13644799,13648656,13648094,13648988,TGA
PRAMEF20,chr1,+,13736906,13747803,13742811,13747733,13747171,13747803,TGA
PRDM2,chr1,+,14026734,14151560,14042100,14149679,14149653,14151560,TGA
TMEM51,chr1,+,15479027,15546973,15541583,15546239,15545821,15546973,TGA
CTRC,chr1,+,15764934,15773149,15764960,15773084,15773069,15773149,TGA
DNAJC16,chr1,+,15853307,15898228,15855600,15894672,15894272,15898228,TGA
DDI2,chr1,+,15943994,15995539,15944165,15983128,15986331,15995539,TGA
RSC1A1,chr1,+,15986363,15988217,15986363,15988217,15986363,15988217,TGA
PLEKHM2,chr1,+,16010826,16061264,16011053,16060429,16060291,16061264,TGA
TMEM82,chr1,+,16068916,16074477,16069054,16074127,16074040,16074477,TGA
FBLIM1,chr1,+,16084913,16113089,16091478,16111156,16111042,16113089,TGA
SPEN,chr1,+,16174358,16266955,16174562,16265922,16265790,16266955,TGA
CLCNKA,chr1,+,16348485,16360542,16349114,16360153,16360105,16360542,TGA
CLCNKB,chr1,+,16370271,16383803,16370987,16383411,16383363,16383803,TGA
NECAP2,chr1,+,16767166,16786573,16767256,16785385,16785336,16786573,TGA
AL355149.2,chr1,+,16865560,16866070,16865560,16866070,16865560,16866070,TGA
AL137798.1,chr1,+,16999497,17000007,16999497,17000007,16999497,17000007,TGA
CROCC,chr1,+,17248444,17299474,17248513,17298941,17298854,17299474,TGA
PADI1,chr1,+,17531620,17572500,17531712,17570738,17570504,17572500,TGA
PADI3,chr1,+,17575592,17610728,17575632,17609574,17609340,17610728,TGA
PADI4,chr1,+,17634691,17690499,17634717,17690250,17690016,17690499,TGA
ACTL8,chr1,+,18081807,18153558,18149503,18153014,18152261,18153558,TGA
IGSF21,chr1,+,18434239,18704976,18434622,18704820,18704749,18704976,TGA
MRTO4,chr1,+,19578032,19586622,19578329,19585324,19585174,19586622,TGA
PQLC2,chr1,+,19638819,19655794,19644171,19655137,19655065,19655794,TGA
MINOS1-NBL1,chr1,+,19923472,19984549,19981523,19983622,19983358,19984549,TGA
MINOS1,chr1,+,19923483,19956314,19923539,19952895,19952880,19956314,TGA
NBL1,chr1,+,19970656,19984945,19981523,19983622,19983358,19984945,TGA
HTR6,chr1,+,19991779,20006055,19992246,20005861,20005411,20006055,TGA
OTUD3,chr1,+,20209005,20239438,20209006,20234239,20234062,20239438,TGA
UBXN10,chr1,+,20512577,20522541,20517054,20517897,20517039,20522541,TGA
FAM43B,chr1,+,20878931,20881512,20879466,20880456,20878931,20881512,TGA
CDA,chr1,+,20915440,20945401,20915622,20945061,20944944,20945401,TGA
PINK1,chr1,+,20959947,20978004,20960041,20977184,20976926,20978004,TGA
ALPL,chr1,+,21835857,21904902,21887172,21904141,21903875,21904902,TGA
LDLRAD2,chr1,+,22138757,22151714,22138944,22148708,22148694,22151714,TGA
CDC42,chr1,+,22379119,22419416,22404971,22418010,22417920,22419416,TGA
ZBTB40,chr1,+,22778343,22857650,22816441,22852889,22852694,22857650,TGA
EPHA8,chr1,+,22890056,22930087,22890128,22928234,22928119,22930087,TGA
C1QA,chr1,+,22962998,22966101,22964109,22965900,22965325,22966101,TGA
C1QB,chr1,+,22979681,22988029,22985949,22987879,22987304,22988029,TGA
KDM1A,chr1,+,23345940,23410182,23346089,23409857,23409671,23410182,TGA
GRHL3,chr1,+,24645914,24690972,24646041,24690861,24690674,24690972,TGA
NIPAL3,chr1,+,24742283,24795797,24746037,24795675,24795475,24795797,TGA
RCAN3,chr1,+,24829386,24867530,24840862,24861767,24861582,24867530,TGA
NCMAP,chr1,+,24882601,24935816,24921921,24932238,24932096,24935816,TGA
TMEM50A,chr1,+,25664407,25688852,25666977,25687196,25687150,25688852,TGA
TMEM57,chr1,+,25757387,25826700,25757589,25824957,25824754,25826700,TGA
LDLRAP1,chr1,+,25870070,25895377,25870189,25893483,25893338,25895377,TGA
MAN1C1,chr1,+,25943958,26112698,25944288,26110280,26110153,26112698,TGA
MTFR1L,chr1,+,26146396,26159432,26149595,26158517,26158411,26159432,TGA
PDIK1L,chr1,+,26438327,26452034,26440799,26449068,26448327,26452034,TGA
FAM110D,chr1,+,26485510,26489119,26487782,26488598,26487702,26489119,TGA
ZNF593,chr1,+,26496361,26498551,26496474,26497207,26497065,26498551,TGA
CNKSR1,chr1,+,26503999,26516375,26504038,26516039,26515769,26516375,TGA
CATSPER4,chr1,+,26517051,26529459,26517118,26529033,26528979,26529459,TGA
CEP85,chr1,+,26560692,26605299,26566274,26603784,26603623,26605299,TGA
SH3BGRL3,chr1,+,26605666,26608007,26606646,26607614,26607548,26608007,TGA
CD52,chr1,+,26644447,26647014,26644508,26646793,26646661,26647014,TGA
LIN28A,chr1,+,26737268,26756213,26737382,26752949,26752732,26756213,TGA
DHDDS,chr1,+,26758845,26797785,26759436,26795622,26795382,26797785,TGA
HMGN2,chr1,+,26799009,26802463,26799103,26801639,26801603,26802463,TGA
RPS6KA1,chr1,+,26856257,26901516,26856411,26900692,26900569,26901516,TGA
ARID1A,chr1,+,27022523,27108595,27022894,27107247,27105513,27108595,TGA
PIGV,chr1,+,27114485,27124889,27117306,27124335,27124053,27124889,TGA
ZDHHC18,chr1,+,27153200,27184092,27153295,27180334,27180216,27184092,TGA
SFN,chr1,+,27189632,27190947,27189703,27190450,27189632,27190947,TGA
TRNP1,chr1,+,27320197,27327389,27320277,27320961,27326337,27327389,TGA
TMEM222,chr1,+,27648650,27662891,27648688,27661957,27661869,27662891,TGA
FAM76A,chr1,+,28052489,28089633,28052591,28087092,28087005,28089633,TGA
STX12,chr1,+,28099693,28150963,28099818,28148840,28148741,28150963,TGA
PPP1R8,chr1,+,28157288,28178187,28157346,28176957,28176603,28178187,TGA
SMPDL3B,chr1,+,28261503,28285668,28261694,28285349,28284986,28285668,TGA
AL353354.2,chr1,+,28527069,28527419,28527228,28527375,28527069,28527419,TGA
ATPIF1,chr1,+,28562619,28564616,28562694,28564308,28564271,28564616,TGA
SESN2,chr1,+,28586037,28609002,28586358,28607313,28607226,28609002,TGA
MED18,chr1,+,28655548,28662476,28657173,28661481,28660927,28662476,TGA
PHACTR4,chr1,+,28696113,28826881,28733958,28823061,28823045,28826881,TGA
RCC1,chr1,+,28832454,28865708,28856378,28864519,28864343,28865708,TGA
RAB42,chr1,+,28918711,28921955,28920311,28920629,28920205,28921955,TGA
OPRD1,chr1,+,29138653,29190208,29138895,29189795,29189253,29190208,TGA
EPB41,chr1,+,29213602,29446532,29313949,29442309,29443330,29446532,TGA
ZCCHC17,chr1,+,31769841,31837783,31782945,31837040,31836878,31837783,TGA
SERINC2,chr1,+,31882411,31907524,31882684,31907046,31906910,31907524,TGA
TINAGL1,chr1,+,32042115,32053288,32042749,32052580,32052439,32053288,TGA
HCRTR1,chr1,+,32083300,32092919,32084793,32092581,32092390,32092919,TGA
TMEM39B,chr1,+,32538502,32568462,32538648,32568274,32568031,32568462,TGA
DCDC2B,chr1,+,32674694,32681797,32674694,32681498,32681402,32681797,TGA
FAM167B,chr1,+,32712833,32714457,32713022,32714202,32713971,32714457,TGA
LCK,chr1,+,32716839,32751766,32739930,32751317,32751114,32751766,TGA
HDAC1,chr1,+,32757686,32799236,32757770,32798645,32798617,32799236,TGA
TSSK3,chr1,+,32827797,32829913,32828302,32829857,32829195,32829913,TGA
RP1-27O5.3,chr1,+,32930657,33066393,32936225,33002129,33065687,33066393,TGA
KIAA1522,chr1,+,33207485,33240571,33207555,33238488,33238465,33240571,TGA
HPCA,chr1,+,33352035,33360247,33354499,33359463,33359365,33360247,TGA
ADC,chr1,+,33546713,33585995,33547850,33585783,33585644,33585995,TGA
ZNF362,chr1,+,33722173,33766320,33736175,33764647,33764530,33766320,TGA
HMGB4,chr1,+,34326075,34330392,34329792,34330353,34328465,34330392,TGA
GJB5,chr1,+,35220647,35224113,35222931,35223753,35222907,35224113,TGA
GJB3,chr1,+,35246789,35251965,35250363,35251176,35250338,35251965,TGA
NCDN,chr1,+,36023073,36032373,36024725,36031264,36030827,36032373,TGA
AGO4,chr1,+,36273772,36323491,36274017,36319206,36319097,36323491,TGA
AGO1,chr1,+,36348809,36395211,36349022,36385208,36385099,36395211,TGA
ADPRHL2,chr1,+,36554475,36559533,36554505,36558987,36558697,36559533,TGA
SH3D21,chr1,+,36771993,36786948,36772021,36786728,36786656,36786948,TGA
RP11-268J15.5,chr1,+,36789334,36794822,36793434,36793758,36793320,36794822,TGA
DNALI1,chr1,+,38022519,38032458,38022529,38030662,38030626,38032458,TGA
CDCA8,chr1,+,38158089,38175391,38158362,38174038,38173993,38175391,TGA
MANEAL,chr1,+,38259473,38266805,38259854,38265875,38265238,38266805,TGA
C1orf122,chr1,+,38273418,38275121,38274356,38274745,38274649,38275121,TGA
UTP11L,chr1,+,38478413,38490496,38478474,38489300,38489216,38490496,TGA
AKIRIN1,chr1,+,39456894,39471731,39457052,39469727,39469716,39471731,TGA
NDUFS5,chr1,+,39491989,39500308,39494396,39500168,39500063,39500308,TGA
KIAA0754,chr1,+,39876150,39882154,39876345,39880221,39876150,39882154,TGA
BMP8A,chr1,+,39957317,39991607,39957663,39991470,39991320,39991607,TGA
TMCO2,chr1,+,40713572,40717363,40713665,40717266,40716954,40717363,TGA
ZMPSTE24,chr1,+,40723778,40759856,40723943,40758341,40758116,40759856,TGA
ZFP69B,chr1,+,40915778,40929390,40916633,40929261,40928092,40929390,TGA
EXO5,chr1,+,40974432,40982228,40980216,40981338,40980186,40982228,TGA
NFYC,chr1,+,41157380,41237275,41204515,41236500,41236380,41237275,TGA
KCNQ4,chr1,+,41249683,41306124,41249765,41304195,41303982,41306124,TGA
CTPS1,chr1,+,41445006,41478235,41448962,41475917,41477329,41478235,TGA
FOXO6,chr1,+,41827593,41849262,41827602,41848553,41847287,41849262,TGA
GUCA2B,chr1,+,42619091,42621495,42619121,42621267,42621205,42621495,TGA
RIMKLA,chr1,+,42846476,42888249,42846605,42880645,42880154,42888249,TGA
PPCS,chr1,+,42922172,42926086,42922928,42925597,42925273,42926086,TGA
C1orf50,chr1,+,43255479,43263968,43255479,43263896,43263768,43263968,TGA
ZNF691,chr1,+,43312279,43318148,43316629,43317484,43316620,43318148,TGA
WDR65,chr1,+,43637819,43720029,43638424,43719862,43719647,43720029,TGA
TMEM125,chr1,+,43735664,43739673,43738393,43739053,43738248,43739673,TGA
TIE1,chr1,+,43766663,43788779,43766742,43788393,43788321,43788779,TGA
MPL,chr1,+,43803477,43818443,43803519,43818443,43818188,43818443,TGA
CDC20,chr1,+,43824625,43828874,43824886,43828800,43828621,43828874,TGA
SZT2,chr1,+,43855639,43918304,43855639,43916151,43916007,43918304,TGA
ST3GAL3,chr1,+,44173217,44396831,44201933,44395893,44395803,44396831,TGA
ARTN,chr1,+,44398991,44402913,44401328,44402437,44401973,44402913,TGA
IPO13,chr1,+,44412610,44433694,44413272,44433354,44433257,44433694,TGA
DPH2,chr1,+,44435675,44439041,44435847,44438211,44438086,44439041,TGA
B4GALT2,chr1,+,44444865,44456839,44446832,44456120,44455969,44456839,TGA
CCDC24,chr1,+,44457279,44462200,44457550,44461832,44461609,44462200,TGA
DMAP1,chr1,+,44679126,44686353,44679425,44686290,44686230,44686353,TGA
RNF220,chr1,+,44870959,45117395,44877769,45116447,45116375,45117395,TGA
KIF2C,chr1,+,45205491,45233439,45205604,45232851,45232768,45233439,TGA
BTBD19,chr1,+,45274153,45279801,45274492,45279444,45279309,45279801,TGA
UROD,chr1,+,45477818,45481247,45477937,45481170,45481008,45481247,TGA
TOE1,chr1,+,45805341,45809647,45805924,45809374,45808753,45809647,TGA
MMACHC,chr1,+,45965724,45976739,45966004,45974887,45974467,45976739,TGA
AKR1A1,chr1,+,46016214,46035721,46027466,46035628,46035562,46035721,TGA
RAD54L,chr1,+,46713366,46744145,46714077,46743954,46743743,46744145,TGA
FAAH,chr1,+,46859936,46879517,46860020,46879247,46879118,46879517,TGA
DMBX1,chr1,+,46972668,46979898,46972682,46978166,46977714,46979898,TGA
CYP4A22,chr1,+,47603126,47615413,47603157,47614469,47614273,47615413,TGA
FOXE3,chr1,+,47881743,47883723,47881987,47882947,47881743,47883723,TGA
FOXD2,chr1,+,47901688,47906363,47903807,47905295,47901688,47906363,TGA
AL109659.1,chr1,+,48569305,48569878,48569305,48569878,48569305,48569878,TGA
SLC5A9,chr1,+,48688358,48714316,48688408,48713215,48713006,48714316,TGA
AL645730.2,chr1,+,50459989,50461874,50460707,50461031,50459989,50461874,TGA
ELAVL4,chr1,+,50513685,50667540,50513836,50666850,50666522,50667540,TGA
C1orf185,chr1,+,51567905,51613752,51567905,51613443,51613138,51613752,TGA
RNF11,chr1,+,51701942,51739127,51702428,51736994,51736822,51739127,TGA
ZYG11B,chr1,+,53192180,53293014,53192325,53287301,53287110,53293014,TGA
ZYG11A,chr1,+,53308407,53360670,53308555,53358629,53358453,53360670,TGA
SCP2,chr1,+,53392900,53517375,53393068,53516376,53516280,53517375,TGA
LRRC42,chr1,+,54411749,54433841,54417672,54433612,54433337,54433841,TGA
TCEANC2,chr1,+,54519273,54565416,54520095,54562146,54561957,54565416,TGA
MRPL37,chr1,+,54665839,54684051,54665916,54683922,54683844,54684051,TGA
SSBP3-AS1,chr1,+,54703709,54704736,54703739,54704042,54703709,54704736,TGA
ACOT11,chr1,+,55013900,55104865,55013982,55100402,55100360,55104865,TGA
MROH7-TTC4,chr1,+,55107459,55207981,55118599,55139756,55207083,55207981,TGA
MROH7,chr1,+,55107465,55175932,55118599,55175860,55175618,55175932,TGA
TTC4,chr1,+,55181494,55208330,55181581,55207186,55207083,55208330,TGA
BSND,chr1,+,55464605,55476556,55464859,55474301,55473886,55476556,TGA
PCSK9,chr1,+,55505220,55530525,55505510,55529257,55529041,55530525,TGA
PRKAA2,chr1,+,57110994,57181008,57111060,57173386,57173147,57181008,TGA
C8A,chr1,+,57320478,57383894,57320574,57383389,57383237,57383894,TGA
FGGY,chr1,+,59762652,60228396,59787221,60228256,60228174,60228396,TGA
ANGPTL3,chr1,+,63063157,63071830,63063237,63070488,63070303,63071830,TGA
AL138847.1,chr1,+,63073436,63075249,63073437,63073806,63073436,63075249,TGA
DLEU2L,chr1,+,64014587,64015405,64014978,64015261,64015159,64015405,TGA
UBE2U,chr1,+,64669489,64710027,64669733,64709816,64709812,64710027,TGA
RAVER2,chr1,+,65210777,65298915,65210855,65296668,65296521,65298915,TGA
AK4,chr1,+,65613231,65697828,65614090,65691860,65691745,65697828,TGA
TCTEX1D1,chr1,+,67218142,67244470,67220341,67243137,67242933,67244470,TGA
IL12RB2,chr1,+,67773046,67862583,67786051,67861772,67861229,67862583,TGA
GADD45A,chr1,+,68150743,68154021,68151177,68153457,68153343,68154021,TGA
SRSF11,chr1,+,70671364,70717300,70687319,70716488,70716293,70717300,TGA
TNNI3K,chr1,+,74663946,75010108,74663962,75009666,75009589,75010108,TGA
ST6GALNAC3,chr1,+,76540403,77100286,76540551,77094491,77094304,77100286,TGA
AK5,chr1,+,77747735,78025651,77747998,78024355,78024286,78025651,TGA
GIPC2,chr1,+,78511585,78604133,78511778,78601427,78601275,78604133,TGA
IFI44L,chr1,+,79086087,79111830,79093600,79107494,79107459,79111830,TGA
CLCA4,chr1,+,87012760,87046437,87012802,87046028,87045624,87046437,TGA
HS2ST1,chr1,+,87380356,87575681,87380719,87570379,87570152,87575681,TGA
RP5-1052I5.2,chr1,+,87458691,87634884,87458764,87633859,87633818,87634884,TGA
LRRC8B,chr1,+,89990461,90063423,90048209,90058602,90058329,90063423,TGA
CDC7,chr1,+,91966449,91991321,91967273,91989992,91989597,91991321,TGA
EPHX4,chr1,+,92495538,92529093,92495636,92528843,92528611,92529093,TGA
BTBD8,chr1,+,92545892,92613393,92546128,92613358,92613240,92613393,TGA
MTF2,chr1,+,93544791,93604636,93580264,93602584,93602226,93604636,TGA
DR1,chr1,+,93811444,93835055,93812202,93826196,93826049,93835055,TGA
RP11-57H12.6,chr1,+,95583478,95710511,95609457,95709806,95709766,95710511,TGA
RWDD3,chr1,+,95699710,95712781,95699786,95712426,95712311,95712781,TGA
LPPR4,chr1,+,99729508,99775146,99730005,99772566,99771240,99775146,TGA
HIAT1,chr1,+,100503652,100548933,100503788,100547765,100547558,100548933,TGA
PRMT6,chr1,+,107599266,107601905,107599514,107600465,107599266,107601905,TGA
NBPF6,chr1,+,108992908,109013624,108993223,109013260,109013218,109013624,TGA
PRPF38B,chr1,+,109234944,109244425,109235213,109242642,109241783,109244425,TGA
FNDC7,chr1,+,109255278,109285362,109255555,109284426,109284546,109285362,TGA
TMEM167B,chr1,+,109632424,109639556,109633494,109637121,109637038,109639556,TGA
KIAA1324,chr1,+,109656622,109745851,109656805,109745634,109745565,109745851,TGA
SARS,chr1,+,109756539,109780742,109756614,109780510,109780352,109780742,TGA
GPR61,chr1,+,110082493,110089882,110085644,110087000,110085043,110089882,TGA
GNAI3,chr1,+,110091232,110136975,110091342,110134855,110134966,110136975,TGA
AMPD2,chr1,+,110162458,110174673,110162890,110173774,110173564,110174673,TGA
GSTM4,chr1,+,110198743,110208118,110199011,110207653,110207632,110208118,TGA
GSTM2,chr1,+,110210643,110226619,110210737,110224439,110225828,110226619,TGA
STRIP1,chr1,+,110574198,110597261,110581339,110596534,110596286,110597261,TGA
SLC6A17,chr1,+,110693107,110744824,110709551,110741066,110740697,110744824,TGA
KCNC4,chr1,+,110754094,110776666,110754121,110774931,110774842,110776666,TGA
CD53,chr1,+,111415775,111442550,111434030,111441817,111441745,111442550,TGA
CHI3L2,chr1,+,111770231,111786062,111770351,111784986,111785838,111786062,TGA
PIFO,chr1,+,111888909,111895635,111889274,111893949,111893880,111895635,TGA
DDX20,chr1,+,112297926,112310638,112298546,112309521,112308358,112310638,TGA
WNT2B,chr1,+,113010055,113072787,113010159,113063131,113062901,113072787,TGA
MOV10,chr1,+,113217042,113243368,113217534,113243129,113243037,113243368,TGA
LRIG2,chr1,+,113615830,113674882,113616028,113666723,113666496,113674882,TGA
DCLRE1B,chr1,+,114447762,114456708,114448208,114454813,114453752,114456708,TGA
OLFML3,chr1,+,114522064,114524876,114522138,114524391,114523570,114524876,TGA
SLC22A15,chr1,+,116519118,116612675,116519248,116609729,116609639,116612675,TGA
MAB21L3,chr1,+,116654375,116677861,116655236,116675986,116675752,116677861,TGA
CD101,chr1,+,117544381,117579167,117544439,117576723,117578777,117579167,TGA
MAN1A2,chr1,+,117910070,118071494,117910805,118065579,118065446,118071494,TGA
HSD3B2,chr1,+,119957553,119965658,119958042,119965243,119964431,119965658,TGA
HSD3B1,chr1,+,120049825,120057681,120050093,120057268,120056456,120057681,TGA
NBPF8,chr1,+,144146811,144224481,144146811,144224213,144224002,144224481,TGA
AL592284.1,chr1,+,144339737,144521058,144339777,144520832,144520646,144521058,TGA
NBPF9,chr1,+,144811743,144830301,144811743,144828557,144828540,144830301,TGA
AL590452.1,chr1,+,144989308,144991365,144989640,144990021,144989308,144991365,TGA
RP11-458D21.5,chr1,+,145209144,145319796,145248856,145293196,145319623,145319796,TGA
TXNIP,chr1,+,145438468,145442635,145438802,145441218,145441182,145442635,TGA
ANKRD34A,chr1,+,145470507,145475646,145473328,145474819,145473208,145475646,TGA
RBM8A,chr1,+,145507597,145513536,145507666,145509211,145509165,145513536,TGA
PEX11B,chr1,+,145516251,145523730,145516400,145522919,145522513,145523730,TGA
ITGA10,chr1,+,145524890,145543868,145525065,145542278,145542212,145543868,TGA
ANKRD35,chr1,+,145549229,145568526,145549316,145567756,145568320,145568526,TGA
PIAS3,chr1,+,145575988,145586546,145576078,145585622,145585355,145586546,TGA
RNF115,chr1,+,145611035,145696218,145611239,145688220,145688088,145696218,TGA
PDZK1,chr1,+,145727723,145764067,145747043,145763623,145763569,145764067,TGA
GPR89C,chr1,+,145883867,145924373,145883867,145923443,145923236,145924373,TGA
NBPF12,chr1,+,146373545,146467638,146395341,146465894,146465877,146467638,TGA
GJA8,chr1,+,147374945,147381393,147380082,147381384,147380071,147381393,TGA
AL358813.2,chr1,+,149675977,149676609,149676069,149676579,149675977,149676609,TGA
HIST2H2AA4,chr1,+,149822642,149823191,149822680,149823073,149822642,149823191,TGA
BOLA1,chr1,+,149871149,149872345,149871612,149872026,149871562,149872345,TGA
VPS45,chr1,+,150039368,150117505,150039914,150116974,150116886,150117505,TGA
PLEKHO1,chr1,+,150122169,150132260,150122447,150131718,150131013,150132260,TGA
MRPS21,chr1,+,150266288,150281414,150266786,150280662,150280481,150281414,TGA
PRPF3,chr1,+,150293924,150325671,150297400,150325455,150325308,150325671,TGA
RPRD2,chr1,+,150337186,150446032,150337190,150445810,150443036,150446032,TGA
TARS2,chr1,+,150459892,150480078,150459926,150479540,150479391,150480078,TGA
ECM1,chr1,+,150480560,150486265,150480685,150485943,150485712,150486265,TGA
AL356356.1,chr1,+,150521896,150524367,150522733,150523536,150523090,150524367,TGA
ADAMTSL4,chr1,+,150521897,150533408,150524764,150532672,150532535,150533408,TGA
ANXA9,chr1,+,150954492,150968110,150955581,150967798,150967735,150968110,TGA
PRUNE,chr1,+,150980952,151008189,150981108,151006710,151006281,151008189,TGA
TNFAIP8L2,chr1,+,151129104,151132225,151131173,151131728,151131141,151132225,TGA
SCNM1,chr1,+,151129139,151141609,151139000,151141561,151141461,151141609,TGA
PSMD4,chr1,+,151227178,151239955,151227258,151239819,151239648,151239955,TGA
ZNF687,chr1,+,151254790,151264380,151258767,151263222,151263190,151264380,TGA
PSMB4,chr1,+,151372009,151374420,151372063,151374305,151374292,151374420,TGA
TUFT1,chr1,+,151512780,151556059,151512842,151554183,151554119,151556059,TGA
OAZ3,chr1,+,151735444,151743805,151735611,151743695,151743552,151743805,TGA
LCE5A,chr1,+,152483319,152484653,152484010,152484367,152483989,152484653,TGA
CRCT1,chr1,+,152486977,152488486,152487859,152488159,152487837,152488486,TGA
LCE3C,chr1,+,152573137,152573562,152573207,152573492,152573137,152573562,TGA
LCE3B,chr1,+,152586286,152586574,152586286,152586574,152586286,152586574,TGA
LCE2D,chr1,+,152635871,152637135,152636581,152636914,152636560,152637135,TGA
LCE2C,chr1,+,152647770,152649050,152648491,152648824,152648470,152649050,TGA
LCE2B,chr1,+,152658598,152659877,152659319,152659652,152659299,152659877,TGA
LCE2A,chr1,+,152670839,152671918,152671377,152671698,152671357,152671918,TGA
LCE4A,chr1,+,152681522,152681910,152681551,152681851,152681522,152681910,TGA
LCE1F,chr1,+,152748847,152749445,152748847,152749204,152748847,152749445,TGA
LCE1E,chr1,+,152758752,152760902,152759775,152760132,152759753,152760902,TGA
LCE1D,chr1,+,152769226,152770657,152770270,152770615,152770248,152770657,TGA
LCE1A,chr1,+,152799948,152800573,152799948,152800281,152799948,152800573,TGA
LCE6A,chr1,+,152815343,152816459,152815996,152816239,152815975,152816459,TGA
SMCP,chr1,+,152850792,152857523,152856898,152857249,152856878,152857523,TGA
LELP1,chr1,+,153175918,153177596,153177183,153177480,153177162,153177596,TGA
S100A7A,chr1,+,153388999,153395701,153390558,153391785,153391620,153395701,TGA
S100A1,chr1,+,153600872,153604513,153602997,153604317,153604173,153604513,TGA
CHTOP,chr1,+,153606524,153618782,153609064,153617745,153617539,153618782,TGA
NPR1,chr1,+,153651112,153666468,153651584,153665890,153665827,153666468,TGA
INTS3,chr1,+,153700542,153746555,153701110,153745746,153745668,153746555,TGA
